  # z-dipole density
# The last    3 ion types are fixed
# Average over        100 steps
# z (au)        A            Im1          Im2          Im3          C1           C2           P         
 49.743076733  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 50.298865300  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 50.854653866  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 51.410442433  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 51.966231000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 52.522019567  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 53.077808134  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 53.633596701  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 54.189385267  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 54.745173834  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 55.300962401  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 55.856750968  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 56.412539535  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 56.968328102  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 57.524116669  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 58.079905235  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 58.635693802  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 59.191482369  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 59.747270936  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 60.303059503  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 60.858848070  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 61.414636636  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 61.970425203  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 62.526213770  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 63.082002337  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 63.637790904  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 64.193579471  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
