# Ion number density
# The last    3 ion types are fixed
# Average over     378000 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
131.928430826  0.004906981  0.000099637  0.000102653  0.000114955  0.000097669  0.001517396  0.001499058  0.001475613  0.000000000  0.000000000  0.000000000
132.816837768  0.004936149  0.000092328  0.000105998  0.000110685  0.000097125  0.001529585  0.001502670  0.001497758  0.000000000  0.000000000  0.000000000
133.705244709  0.004955720  0.000084358  0.000114989  0.000112637  0.000088277  0.001523131  0.001508702  0.001523626  0.000000000  0.000000000  0.000000000
134.593651651  0.004960542  0.000086355  0.000108085  0.000108562  0.000092222  0.001528121  0.001528014  0.001509183  0.000000000  0.000000000  0.000000000
135.482058593  0.004976562  0.000087548  0.000097894  0.000102319  0.000098729  0.001533090  0.001543801  0.001513181  0.000000000  0.000000000  0.000000000
136.370465534  0.005025112  0.000083615  0.000093977  0.000099257  0.000100336  0.001560342  0.001544518  0.001543067  0.000000000  0.000000000  0.000000000
137.258872476  0.004997965  0.000081788  0.000097024  0.000089212  0.000102558  0.001558316  0.001536250  0.001532817  0.000000000  0.000000000  0.000000000
138.147279417  0.004970965  0.000083946  0.000089239  0.000083236  0.000106559  0.001551963  0.001536000  0.001520023  0.000000000  0.000000000  0.000000000
139.035686359  0.004993392  0.000080002  0.000078087  0.000073292  0.000105857  0.001559647  0.001556143  0.001540364  0.000000000  0.000000000  0.000000000
139.924093301  0.005020370  0.000076430  0.000073160  0.000068607  0.000101412  0.001573996  0.001570671  0.001556094  0.000000000  0.000000000  0.000000000
140.812500242  0.005022114  0.000075148  0.000071314  0.000064925  0.000094836  0.001560491  0.001576023  0.001579376  0.000000000  0.000000000  0.000000000
141.700907184  0.005030713  0.000081972  0.000074188  0.000063944  0.000095515  0.001559029  0.001588421  0.001567645  0.000000000  0.000000000  0.000000000
142.589314125  0.005028911  0.000084973  0.000069640  0.000067118  0.000098772  0.001566162  0.001581610  0.001560636  0.000000000  0.000000000  0.000000000
143.477721067  0.004985774  0.000088162  0.000076496  0.000072532  0.000094484  0.001556780  0.001546191  0.001551129  0.000000000  0.000000000  0.000000000
144.366128009  0.004969821  0.000080378  0.000079686  0.000076281  0.000081986  0.001550942  0.001534688  0.001565860  0.000000000  0.000000000  0.000000000
145.254534950  0.004968705  0.000081646  0.000088502  0.000084340  0.000079669  0.001542991  0.001528140  0.001563416  0.000000000  0.000000000  0.000000000
