# Created by f3dm-l4s 0.1.0 using f3dmlib 1.8.24.3
# Force has been calculated on a mesh of 42184 nodes (28465 elements)
# using quadratic tetrahedral elements.
#
# Grid data:
# Center of the pox: 0.75 0.25 3 
# Box size: 1.500000 0.500000 2.000000 
# Number of points: 100 1 100 
#
# x  y  z  Fx  Fy  Fz
 0.000000000000000e+00      2.500000000000000e-01     2.848484848484854e+00      1.249525605973023e-05     -2.772213746338181e-06     4.929209626968414e-01
 0.000000000000000e+00      2.500000000000000e-01     2.868686868686874e+00     -4.200050270242173e-06     -9.636036201243758e-06     4.926623211687344e-01
 0.000000000000000e+00      2.500000000000000e-01     2.888888888888895e+00      5.183955896238823e-05     -1.460726892443809e-05     4.924422097679556e-01
 0.000000000000000e+00      2.500000000000000e-01     2.909090909090915e+00      3.143670194021703e-05     -5.272384880683489e-06     4.922658316016734e-01
 0.000000000000000e+00      2.500000000000000e-01     2.929292929292935e+00      1.103384491810133e-05      4.062499163071109e-06     4.920894534353912e-01
 0.000000000000000e+00      2.500000000000000e-01     2.949494949494956e+00     -9.369012104007424e-06      1.339738320682571e-05     4.919130752691090e-01
 0.000000000000000e+00      2.500000000000000e-01     2.969696969696976e+00     -2.977186912617863e-05      2.273226725046928e-05     4.917366971028269e-01
 0.000000000000000e+00      2.500000000000000e-01     2.989898989898996e+00      2.101988552760670e-05     -1.513207408182504e-06     4.916046219445410e-01
 0.000000000000000e+00      2.500000000000000e-01     3.010101010101017e+00      2.885376783434701e-05      4.877867725683327e-06     4.914625237073836e-01
 0.000000000000000e+00      2.500000000000000e-01     3.030303030303037e+00      1.540275455125251e-05      1.036017580477444e-05     4.913528371345082e-01
 0.000000000000000e+00      2.500000000000000e-01     3.050505050505057e+00      1.951741277150809e-06      1.584248388600273e-05     4.912431505616340e-01
 0.000000000000000e+00      2.500000000000000e-01     3.070707070707078e+00     -1.149927199828316e-05      2.132479196773063e-05     4.911334639887582e-01
 0.000000000000000e+00      2.500000000000000e-01     3.090909090909098e+00     -2.495028527416121e-05      2.680710004629439e-05     4.910237774158847e-01
 0.000000000000000e+00      2.500000000000000e-01     3.111111111111118e+00     -3.840129854826291e-05      3.228940812749492e-05     4.909140908430105e-01
 0.000000000000000e+00      2.500000000000000e-01     3.131313131313139e+00      1.785184793602038e-05      2.645577172941116e-05     4.908552677141358e-01
 0.000000000000000e+00      2.500000000000000e-01     3.151515151515159e+00      1.408912866335266e-05      2.792512183014129e-05     4.907697032599415e-01
 0.000000000000000e+00      2.500000000000000e-01     3.171717171717179e+00      7.202389378513363e-06      3.543945041206698e-05     4.907043534769089e-01
 0.000000000000000e+00      2.500000000000000e-01     3.191919191919200e+00      3.156500921197569e-07      4.295377899343755e-05     4.906390036938743e-01
 0.000000000000000e+00      2.500000000000000e-01     3.212121212121220e+00     -6.571089193663227e-06      5.046810757380893e-05     4.905736539108414e-01
 0.000000000000000e+00      2.500000000000000e-01     3.232323232323240e+00     -1.345782847844701e-05      5.798243615567911e-05     4.905083041278087e-01
 0.000000000000000e+00      2.500000000000000e-01     3.252525252525261e+00     -1.794153257372866e-05      6.178804939682703e-05     4.904503051774479e-01
 0.000000000000000e+00      2.500000000000000e-01     3.272727272727281e+00      1.082671630048271e-05      7.287667025271394e-05     4.903998764441804e-01
 0.000000000000000e+00      2.500000000000000e-01     3.292929292929301e+00      7.370431092779128e-06      8.611696067031827e-05     4.903542492366717e-01
 0.000000000000000e+00      2.500000000000000e-01     3.313131313131322e+00      3.914145881578346e-06      9.935725108795035e-05     4.903086220291630e-01
 0.000000000000000e+00      2.500000000000000e-01     3.333333333333342e+00      4.578606721539202e-07      1.125975415055547e-04     4.902629948216543e-01
 0.000000000000000e+00      2.500000000000000e-01     3.353535353535362e+00     -2.998424537936639e-06      1.258378319240472e-04     4.902173676141440e-01
 0.000000000000000e+00      2.500000000000000e-01     3.373737373737383e+00     -6.454709746750442e-06      1.390781223408188e-04     4.901717404066369e-01
 0.000000000000000e+00      2.500000000000000e-01     3.393939393939403e+00     -9.009008542504304e-06      1.520204200463060e-04     4.901491688324895e-01
