# Ion number density
# The last    3 ion types are fixed
# Average over     744960 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
102.611001754  0.004681858  0.000126268  0.000144655  0.000135519  0.000130611  0.001451044  0.001346070  0.001347691  0.000000000  0.000000000  0.000000000
103.499408695  0.004827704  0.000137193  0.000141101  0.000136691  0.000137316  0.001465757  0.001411908  0.001397738  0.000000000  0.000000000  0.000000000
104.387815637  0.004912975  0.000145173  0.000134466  0.000136493  0.000144629  0.001440595  0.001464455  0.001447166  0.000000000  0.000000000  0.000000000
105.276222579  0.004911536  0.000145454  0.000134489  0.000134144  0.000142935  0.001417098  0.001473323  0.001464093  0.000000000  0.000000000  0.000000000
106.164629520  0.004843784  0.000137609  0.000133824  0.000134255  0.000145743  0.001391360  0.001443355  0.001457639  0.000000000  0.000000000  0.000000000
107.053036462  0.004752630  0.000127078  0.000133333  0.000131836  0.000140658  0.001385756  0.001407213  0.001426757  0.000000000  0.000000000  0.000000000
107.941443403  0.004710459  0.000124864  0.000132376  0.000130084  0.000129704  0.001397861  0.001389667  0.001405903  0.000000000  0.000000000  0.000000000
108.829850345  0.004727881  0.000128324  0.000128038  0.000127823  0.000124804  0.001420690  0.001385344  0.001412858  0.000000000  0.000000000  0.000000000
109.718257287  0.004784794  0.000126069  0.000127672  0.000127376  0.000120550  0.001428589  0.001425892  0.001428646  0.000000000  0.000000000  0.000000000
110.606664228  0.004821841  0.000131980  0.000125548  0.000129081  0.000121959  0.001427556  0.001446736  0.001438980  0.000000000  0.000000000  0.000000000
111.495071170  0.004839151  0.000145775  0.000122747  0.000131776  0.000121984  0.001415400  0.001454591  0.001446878  0.000000000  0.000000000  0.000000000
112.383478111  0.004807872  0.000159079  0.000122830  0.000131614  0.000123395  0.001394895  0.001421942  0.001454117  0.000000000  0.000000000  0.000000000
113.271885053  0.004775442  0.000161331  0.000126565  0.000130551  0.000126845  0.001377524  0.001405626  0.001446999  0.000000000  0.000000000  0.000000000
114.160291994  0.004753080  0.000168464  0.000126734  0.000127041  0.000124449  0.001371347  0.001396078  0.001438967  0.000000000  0.000000000  0.000000000
115.048698936  0.004698072  0.000157738  0.000128360  0.000128972  0.000123312  0.001377668  0.001368410  0.001413613  0.000000000  0.000000000  0.000000000
115.937105878  0.004719756  0.000144678  0.000131437  0.000133926  0.000121488  0.001393737  0.001393342  0.001401149  0.000000000  0.000000000  0.000000000
